"","SPY","IWM","QQQ","EZU","RWO","VWO","DBC","HYG","VLUE","GOVT","LQD"
"SPY",1,0.833614586934283,0.905526014821455,0.717337396126977,0.594731866050422,0.629722124004347,0.293039612599491,0.675884387409178,0.94517196768676,-0.331202544115575,0.104271617172466
"IWM",0.833614586934283,1,0.679776330923709,0.527755340342678,0.50345402559713,0.420181767923384,0.309295769874373,0.560984910761202,0.879589280534372,-0.387108712586462,0.013834213429981
"QQQ",0.905526014821455,0.679776330923709,1,0.697753005494703,0.496042144664528,0.579561125924852,0.18427224652653,0.568916757854686,0.820988692514048,-0.229569492360485,0.0797769979759254
"EZU",0.717337396126977,0.527755340342678,0.697753005494703,1,0.496392837366092,0.730211902651269,0.236710338307866,0.657367439602985,0.607184341459875,-0.171359588777948,0.299751885288855
"RWO",0.594731866050422,0.50345402559713,0.496042144664528,0.496392837366092,1,0.461829954263021,-0.0194124427309096,0.471692905424284,0.49402626345718,0.336764581004729,0.609136629538627
"VWO",0.629722124004347,0.420181767923384,0.579561125924852,0.730211902651269,0.461829954263021,1,0.37360845134001,0.605039714200533,0.545807079448014,-0.0511594552833097,0.390707755372904
"DBC",0.293039612599491,0.309295769874373,0.18427224652653,0.236710338307866,-0.0194124427309096,0.37360845134001,1,0.518086488969865,0.374879969712044,-0.357107996851465,-0.00685644796505027
"HYG",0.675884387409178,0.560984910761202,0.568916757854686,0.657367439602985,0.471692905424284,0.605039714200533,0.518086488969865,1,0.6576226095692,-0.0830871814680973,0.380384023622977
"VLUE",0.94517196768676,0.879589280534372,0.820988692514048,0.607184341459875,0.49402626345718,0.545807079448014,0.374879969712044,0.6576226095692,1,-0.480230593385883,-0.0132683911381575
"GOVT",-0.331202544115575,-0.387108712586462,-0.229569492360485,-0.171359588777948,0.336764581004729,-0.0511594552833097,-0.357107996851465,-0.0830871814680973,-0.480230593385883,1,0.708884860371485
"LQD",0.104271617172466,0.013834213429981,0.0797769979759254,0.299751885288855,0.609136629538627,0.390707755372904,-0.00685644796505027,0.380384023622977,-0.0132683911381575,0.708884860371485,1
